iter	Passed	Remaining
0	1327	113609611	2270	97077522	3238	92178133	3990	85096244	4871	83004755	5545	78659666	5873	71320277	6520	69203888	7326	69035699	7788	659694110	8539	656796111	9157	644818112	9880	641484113	10492	63180514	10980	616347
15	11674	613639
16	12279	606752
17	12933	602846
18	13592	599480
19	14356	600810
20	15099	601090
21	15732	597106
22	16380	593986
23	16986	589576
24	17607	585962
25	18330	585869
26	18959	582822
27	19597	580238
28	20257	578378
29	20898	576099
30	21562	574533
31	22320	575440
32	22925	572447
33	23706	573831
34	24457	574409
35	25033	570911
36	25626	567930
37	26296	566768
38	26880	563797
39	27518	562058
40	28157	560411
41	28846	559761
42	29540	559203
43	30198	557982
44	30891	557412
45	31517	555664
46	31783	547764
47	32365	545494
48	33088	545626
49	33766	544988
50	34364	543090
51	34983	541571
52	35602	540089
53	36246	539002
54	36951	538814
55	37574	537443
56	38275	537206
57	38942	536460
58	39531	534675
59	40197	533950
60	40818	532643
61	41535	532595
62	42152	531253
63	42817	530538
64	43467	529629
65	44092	528439
66	44780	528003
67	45566	528706
68	46177	527356
69	46828	526483
70	47448	525273
71	48178	525282
72	48896	525135
73	49580	524617
74	50276	524211
75	50955	523633
76	51607	522775
77	52308	522418
78	52966	521620
79	53624	520830
80	54240	519639
81	54860	518502
82	55542	517948
83	56190	517084
84	56779	515693
85	57394	514551
86	58053	513809
87	58705	513004
88	59371	512333
89	59992	511266
90	60649	510520
91	61307	509781
92	62025	509543
93	62676	508747
94	63367	508276
95	63979	507169
96	64677	506753
97	65346	506104
98	65928	504786
99	66726	505116
100	67428	504714
101	68071	503865
102	68694	502872
103	69407	502540
104	70025	501517
105	70649	500541
106	71253	499441
107	71944	498950
108	72691	498838
109	73443	498749
110	74021	497478
111	74775	497388
112	75611	497828
113	76316	497394
114	76981	496698
115	77723	496493
116	78497	496478
117	79268	496432
118	80213	497459
119	80889	496797
120	81599	496339
121	82430	496612
122	83355	497422
123	84187	497656
124	85069	498164
125	86149	499803
126	86894	499474
127	87762	499834
128	88509	499495
129	89185	498752
130	89881	498120
131	90547	497324
132	91283	496911
133	92057	496699
134	92770	496149
135	93469	495526
136	94194	495037
137	95179	495898
138	96072	496258
139	96794	495727
140	97572	495474
141	98422	495580
142	99113	494876
143	99775	494026
144	100529	493635
145	101262	493134
146	101974	492529
147	102812	492528
148	103553	492051
149	104474	492423
150	105797	494655
151	106733	495048
152	108090	497357
153	109351	499180
154	110335	499712
155	111670	501802
156	112824	503040
157	113548	502344
158	114399	502208
159	115221	501933
160	115952	501262
161	116670	500530
162	117412	499903
163	118416	500383
164	119209	499956
165	120053	499742
166	120811	499162
167	121518	498370
168	122155	497294
169	122819	496334
170	123575	495748
171	124459	495668
172	125582	496523
173	126629	497057
174	127450	496692
175	128252	496248
176	129059	495822
177	129829	495249
178	130734	495183
179	131725	495436
180	132486	494809
181	133371	494647
182	134089	493860
183	134854	493244
184	135654	492756
185	136358	491916
186	137126	491307
187	138019	491143
188	138715	490275
189	139556	489917
190	140341	489356
191	141241	489196
192	142127	488978
193	143107	489072
194	143947	488682
195	144886	488623
196	145699	488129
197	146948	489086
198	147985	489319
199	148867	489029
200	149786	488854
201	150742	488793
202	151492	488058
203	152435	487943
204	153108	486961
205	153888	486316
206	154632	485562
207	155349	484720
208	156071	483896
209	156913	483443
210	158154	484206
211	159301	484666
212	160519	485325
213	161465	485151
214	162543	485361
215	163368	484812
216	164199	484275
217	164948	483495
218	165748	482866
219	166514	482134
220	167272	481381
221	168204	481126
222	168950	480335
223	169715	479597
224	170390	478608
225	171027	477515
226	171685	476484
227	172525	475958
228	173243	475095
229	174163	474785
230	175369	475243
231	176220	474732
232	176942	473870
233	177790	473347
234	178551	472591
235	179245	471659
236	180029	470963
237	180765	470142
238	181535	469409
239	182516	469218
240	183384	468733
241	184360	468519
242	185138	467797
243	185814	466820
244	186601	466123
245	187326	465271
246	188066	464455
247	188840	463725
248	189531	462790
249	190116	461601
250	191316	461903
251	192742	462735
252	193962	463056
253	195180	463360
254	196518	463936
255	197606	463912
256	198615	463694
257	199565	463332
258	200428	462765
259	201372	462383
260	202242	461825
261	202954	460907
262	203749	460178
263	204705	459812
264	205552	459195
265	206300	458359
266	207285	458046
267	207981	457094
268	208872	456568
269	210107	456788
270	211135	456550
271	211964	455879
272	212707	455021
273	213467	454201
274	214191	453308
275	215020	452633
276	216027	452331
277	216910	451766
278	217681	450966
279	218535	450339
280	219482	449900
281	220299	449191
282	221059	448368
283	221896	447700
284	222628	446820
285	223805	446828
286	224646	446162
287	225299	445122
288	226116	444409
289	226764	443364
290	227478	442450
291	228222	441594
292	228851	440519
293	229690	439849
294	230622	439355
295	231428	438618
296	232380	438158
297	233207	437458
298	233950	436602
299	234848	436036
300	235751	435474
301	236548	434717
302	237345	433957
303	238167	433246
304	238928	432421
305	239649	431525
306	240356	430605
307	241208	429946
308	242073	429307
309	243056	428877
310	243772	427972
311	244593	427254
312	245455	426605
313	246151	425670
314	246839	424720
315	247507	423739
316	248173	422756
317	248868	421824
318	249633	421011
319	250303	420040
320	251176	419409
321	251893	418519
322	252582	417582
323	253254	416618
324	253983	415750
325	254613	414723
326	255368	413899
327	256133	413092
328	256837	412189
329	257534	411274
330	258257	410402
331	259090	409707
332	259810	408830
333	260418	407780
334	261068	406799
335	261710	405807
336	262445	404960
337	263273	404256
338	264044	403465
339	264744	402566
340	265445	401671
341	266329	401052
342	267109	400275
343	267890	399499
344	268649	398690
345	269446	397939
346	270148	397048
347	270781	396056
348	271477	395158
349	272263	394393
350	272802	393270
351	273462	392324
352	274152	391423
353	274821	390494
354	275455	389517
355	276135	388606
356	276896	387810
357	277576	386901
358	278257	385994
359	278898	385034
360	279574	384123
361	280313	383301
362	281011	382423
363	281628	381436
364	282252	380461
365	282976	379620
366	283560	378596
367	284250	377713
368	284871	376740
369	285655	375983
370	286399	375175
371	287162	374392
372	287917	373598
373	288645	372769
374	289473	372070
375	290106	371120
376	290756	370194
377	291467	369345
378	292158	368474
379	292860	367617
380	293510	366695
381	294267	365908
382	294889	364954
383	295548	364048
384	296252	363198
385	297009	362413
386	297586	361410
387	298287	360559
388	299008	359732
