Variable,Correlation,Abs_Correlation
temp,-0.5785059132569419,0.5785059132569419
feels_like,-0.5780761526311209,0.5780761526311209
apparent_temp,-0.5724244525618672,0.5724244525618672
wind_chill,-0.5673819695542069,0.5673819695542069
heat_index,-0.5627732324826168,0.5627732324826168
temp_6h_avg,-0.517953149079335,0.517953149079335
dew_point,-0.49849987502641313,0.49849987502641313
temp_lag_1,-0.46290300483261704,0.46290300483261704
temp_lag_3,-0.44184365254091695,0.44184365254091695
dew_point_depression,-0.387479328879081,0.387479328879081
